2024-12-27 07:17:32.867953 |INFO | [typepulse-progress] Find callee as a method: "core::ops::function::FnMut::call_mut" / DefId(1:2928 ~ core[6c80]::ops::function::FnMut::call_mut)
2024-12-27 07:17:32.867967 |INFO | [typepulse-progress] Find callee as a method: "core::ops::function::FnMut::call_mut" / DefId(1:2928 ~ core[6c80]::ops::function::FnMut::call_mut)
2024-12-27 07:17:32.867985 |INFO | [typepulse-progress] Find callee as a method: "core::clone::Clone::clone" / DefId(1:2263 ~ core[6c80]::clone::Clone::clone)
2024-12-27 07:17:32.868026 |INFO | [typepulse-progress] Find callee as a method: "core::convert::Into::into" / DefId(1:2512 ~ core[6c80]::convert::Into::into)
2024-12-27 07:17:32.868460 |INFO | [typepulse-progress] Find callee as a method: "core::clone::Clone::clone" / DefId(1:2263 ~ core[6c80]::clone::Clone::clone)
2024-12-27 07:17:32.868492 |INFO | [typepulse-progress] Find callee as a method: "core::ops::function::FnOnce::call_once" / DefId(1:2932 ~ core[6c80]::ops::function::FnOnce::call_once)
2024-12-27 07:17:32.868678 |INFO | [typepulse-progress] Find callee as a method: "rgb::internal::pixel::ComponentMap::map" / DefId(0:268 ~ rgb[b528]::internal::pixel::ComponentMap::map)
2024-12-27 07:17:32.868854 |INFO | [typepulse-progress] Find callee as a method: "rgb::internal::pixel::ComponentMap::map" / DefId(0:563 ~ rgb[b528]::internal::rgba::{impl#14}::map)
2024-12-27 07:17:32.869176 |INFO | [typepulse-progress] Find callee as a method: "rgb::internal::pixel::ComponentMap::map" / DefId(0:268 ~ rgb[b528]::internal::pixel::ComponentMap::map)
2024-12-27 07:17:32.869387 |INFO | [typepulse-progress] Find callee as a method: "core::clone::Clone::clone" / DefId(1:2263 ~ core[6c80]::clone::Clone::clone)
2024-12-27 07:17:32.869410 |INFO | [typepulse-progress] Find callee as a method: "core::clone::Clone::clone" / DefId(1:2263 ~ core[6c80]::clone::Clone::clone)
2024-12-27 07:17:32.869424 |INFO | [typepulse-progress] Find callee as a method: "core::clone::Clone::clone" / DefId(1:2263 ~ core[6c80]::clone::Clone::clone)
2024-12-27 07:17:32.869573 |INFO | [typepulse-progress] Find callee as a method: "rgb::internal::pixel::ComponentSlice::as_mut_slice" / DefId(0:259 ~ rgb[b528]::internal::pixel::ComponentSlice::as_mut_slice)
2024-12-27 07:17:32.869844 |INFO | [typepulse-progress] Find callee as a method: "core::cmp::PartialOrd::partial_cmp" / DefId(1:2354 ~ core[6c80]::cmp::PartialOrd::partial_cmp)
2024-12-27 07:17:32.869876 |INFO | [typepulse-progress] Find callee as a method: "core::cmp::PartialOrd::partial_cmp" / DefId(1:2354 ~ core[6c80]::cmp::PartialOrd::partial_cmp)
2024-12-27 07:17:32.870022 |INFO | [typepulse-progress] Find callee as a method: "core::hash::Hash::hash" / DefId(1:9360 ~ core[6c80]::hash::Hash::hash)
2024-12-27 07:17:32.870044 |INFO | [typepulse-progress] Find callee as a method: "core::hash::Hash::hash" / DefId(1:9360 ~ core[6c80]::hash::Hash::hash)
2024-12-27 07:17:32.870240 |INFO | [typepulse-progress] Find callee as a method: "core::slice::<impl [T]>::as_ptr" / DefId(1:11030 ~ core[6c80]::slice::{impl#0}::as_ptr)
2024-12-27 07:17:32.870264 |INFO | [typepulse-progress] Find callee as a method: "core::slice::<impl [T]>::len" / DefId(1:10980 ~ core[6c80]::slice::{impl#0}::len)
